Field_ID,Category,Period,Metric,Description,Example_Value
Revenue_Laundry_Proj_Pct,Revenue,Projection,Percent,Laundry income projection as % of PGR,1%
Revenue_Misc_YTD_Total,Revenue,YTD,Total,Total miscellaneous revenue year-to-date,"$8,400"
Revenue_Misc_YTD_Unit,Revenue,YTD,Unit,Total miscellaneous revenue year-to-date per unit,$525
Revenue_Misc_YTD_Pct,Revenue,YTD,Percent,Total miscellaneous revenue year-to-date as % of PGR,4%
Revenue_Misc_Proj_Total,Revenue,Projection,Total,Total miscellaneous revenue projection,"$8,400"
Revenue_Misc_Proj_Unit,Revenue,Projection,Unit,Total miscellaneous revenue projection per unit,$525
Revenue_Misc_Proj_Pct,Revenue,Projection,Percent,Total miscellaneous revenue projection as % of PGR,4%
PGR_YTD_Total,Revenue,YTD,Total,Potential gross revenue year-to-date,"$203,460"
PGR_YTD_Unit,Revenue,YTD,Unit,Potential gross revenue year-to-date per unit,"$12,716"
PGR_YTD_Pct,Revenue,YTD,Percent,Potential gross revenue year-to-date as % of PGR,100%
PGR_Proj_Total,Revenue,Projection,Total,Potential gross revenue projection,"$202,800"
PGR_Proj_Unit,Revenue,Projection,Unit,Potential gross revenue projection per unit,"$12,675"
PGR_Proj_Pct,Revenue,Projection,Percent,Potential gross revenue projection as % of PGR,100%
Vacancy_YTD_Total,Vacancy,YTD,Total,Vacancy loss year-to-date,"($7,731)"
Vacancy_YTD_Unit,Vacancy,YTD,Unit,Vacancy loss year-to-date per unit,($483)
Vacancy_YTD_Pct,Vacancy,YTD,Percent,Vacancy loss year-to-date as % of PGR,(4%)
Vacancy_Proj_Total,Vacancy,Projection,Total,Vacancy loss projection,"($7,786)"
Vacancy_Proj_Unit,Vacancy,Projection,Unit,Vacancy loss projection per unit,($487)
Vacancy_Proj_Pct,Vacancy,Projection,Percent,Vacancy loss projection as % of PGR,(4%)
EGR_YTD_Total,Revenue,YTD,Total,Effective gross revenue year-to-date,"$195,729"
EGR_YTD_Unit,Revenue,YTD,Unit,Effective gross revenue year-to-date per unit,"$12,233"
EGR_YTD_Pct,Revenue,YTD,Percent,Effective gross revenue year-to-date as % of PGR,96%
EGR_Proj_Total,Revenue,Projection,Total,Effective gross revenue projection,"$195,014"
EGR_Proj_Unit,Revenue,Projection,Unit,Effective gross revenue projection per unit,"$12,188"
EGR_Proj_Pct,Revenue,Projection,Percent,Effective gross revenue projection as % of PGR,96%
OpEx_Taxes_YTD_Total,Operating Expense,YTD,Total,Tax expense year-to-date,"($18,600)"
OpEx_Taxes_YTD_Unit,Operating Expense,YTD,Unit,Tax expense year-to-date per unit,"($1,163)"
OpEx_Taxes_YTD_Pct,Operating Expense,YTD,Percent,Tax expense year-to-date as % of PGR,(10%)
OpEx_Taxes_Proj_Total,Operating Expense,Projection,Total,Tax expense projection,"($19,688)"
OpEx_Taxes_Proj_Unit,Operating Expense,Projection,Unit,Tax expense projection per unit,"($1,231)"
OpEx_Taxes_Proj_Pct,Operating Expense,Projection,Percent,Tax expense projection as % of PGR,(10%)
OpEx_Insurance_YTD_Total,Operating Expense,YTD,Total,Insurance expense year-to-date,"($11,314)"
OpEx_Insurance_YTD_Unit,Operating Expense,YTD,Unit,Insurance expense year-to-date per unit,($707)
OpEx_Insurance_YTD_Pct,Operating Expense,YTD,Percent,Insurance expense year-to-date as % of PGR,(6%)
OpEx_Insurance_Proj_Total,Operating Expense,Projection,Total,Insurance expense projection,"($11,360)"
OpEx_Insurance_Proj_Unit,Operating Expense,Projection,Unit,Insurance expense projection per unit,($710)
OpEx_Insurance_Proj_Pct,Operating Expense,Projection,Percent,Insurance expense projection as % of PGR,(6%)
OpEx_Repairs_YTD_Total,Operating Expense,YTD,Total,Repairs & maintenance expense year-to-date,"($13,280)"
OpEx_Repairs_YTD_Unit,Operating Expense,YTD,Unit,Repairs & maintenance expense year-to-date per unit,($830)
OpEx_Repairs_YTD_Pct,Operating Expense,YTD,Percent,Repairs & maintenance expense year-to-date as % of PGR,(7%)
OpEx_Repairs_Proj_Total,Operating Expense,Projection,Total,Repairs & maintenance expense projection,"($13,280)"
OpEx_Repairs_Proj_Unit,Operating Expense,Projection,Unit,Repairs & maintenance expense projection per unit,($830)
OpEx_Repairs_Proj_Pct,Operating Expense,Projection,Percent,Repairs & maintenance expense projection as % of PGR,(7%)
OpEx_Payroll_YTD_Total,Operating Expense,YTD,Total,Payroll expense year-to-date,"($8,000)"
OpEx_Payroll_YTD_Unit,Operating Expense,YTD,Unit,Payroll expense year-to-date per unit,($500)
OpEx_Payroll_YTD_Pct,Operating Expense,YTD,Percent,Payroll expense year-to-date as % of PGR,(4%)
OpEx_Payroll_Proj_Total,Operating Expense,Projection,Total,Payroll expense projection,"($8,000)"
OpEx_Payroll_Proj_Unit,Operating Expense,Projection,Unit,Payroll expense projection per unit,($500)
OpEx_Payroll_Proj_Pct,Operating Expense,Projection,Percent,Payroll expense projection as % of PGR,(4%)
OpEx_Utilities_YTD_Total,Operating Expense,YTD,Total,Utilities expense year-to-date,"($23,025)"
OpEx_Utilities_YTD_Unit,Operating Expense,YTD,Unit,Utilities expense year-to-date per unit,"($1,439)"
OpEx_Utilities_YTD_Pct,Operating Expense,YTD,Percent,Utilities expense year-to-date as % of PGR,(12%)
OpEx_Utilities_Proj_Total,Operating Expense,Projection,Total,Utilities expense projection,"($21,040)"
OpEx_Utilities_Proj_Unit,Operating Expense,Projection,Unit,Utilities expense projection per unit,"($1,315)"
OpEx_Utilities_Proj_Pct,Operating Expense,Projection,Percent,Utilities expense projection as % of PGR,(11%)
OpEx_Management_YTD_Total,Operating Expense,YTD,Total,Management fees year-to-date,"($8,301)"
OpEx_Management_YTD_Unit,Operating Expense,YTD,Unit,Management fees year-to-date per unit,($519)
OpEx_Management_YTD_Pct,Operating Expense,YTD,Percent,Management fees year-to-date as % of PGR,(4%)
OpEx_Management_Proj_Total,Operating Expense,Projection,Total,Management fees projection,"($8,281)"
OpEx_Management_Proj_Unit,Operating Expense,Projection,Unit,Management fees projection per unit,($518)
OpEx_Management_Proj_Pct,Operating Expense,Projection,Percent,Management fees projection as % of PGR,(4%)
OpEx_Other_YTD_Total,Operating Expense,YTD,Total,Other expenses year-to-date,"($3,908)"
OpEx_Other_YTD_Unit,Operating Expense,YTD,Unit,Other expenses year-to-date per unit,($244)
OpEx_Other_YTD_Pct,Operating Expense,YTD,Percent,Other expenses year-to-date as % of PGR,(2%)
OpEx_Other_Proj_Total,Operating Expense,Projection,Total,Other expenses projection,"($3,920)"
OpEx_Other_Proj_Unit,Operating Expense,Projection,Unit,Other expenses projection per unit,($245)
OpEx_Other_Proj_Pct,Operating Expense,Projection,Percent,Other expenses projection as % of PGR,(2%)
OpEx_Total_YTD_Total,Operating Expense,YTD,Total,Total operating expenses year-to-date,"($86,428)"
OpEx_Total_YTD_Unit,Operating Expense,YTD,Unit,Total operating expenses year-to-date per unit,"($5,402)"
OpEx_Total_YTD_Pct,Operating Expense,YTD,Percent,Total operating expenses year-to-date as % of PGR,(44%)
OpEx_Total_Proj_Total,Operating Expense,Projection,Total,Total operating expenses projection,"($85,569)"
OpEx_Total_Proj_Unit,Operating Expense,Projection,Unit,Total operating expenses projection per unit,"($5,348)"
OpEx_Total_Proj_Pct,Operating Expense,Projection,Percent,Total operating expenses projection as % of PGR,(44%)
NOI_YTD_Total,Net Operating Income,YTD,Total,Net operating income year-to-date,"$109,301"
NOI_YTD_Unit,Net Operating Income,YTD,Unit,Net operating income year-to-date per unit,"$6,831"
NOI_YTD_Pct,Net Operating Income,YTD,Percent,Net operating income year-to-date as % of PGR,54%
NOI_Proj_Total,Net Operating Income,Projection,Total,Net operating income projection,"$109,445"
NOI_Proj_Unit,Net Operating Income,Projection,Unit,Net operating income projection per unit,"$6,840"
NOI_Proj_Pct,Net Operating Income,Projection,Percent,Net operating income projection as % of PGR,54%
